Nome Escola,Pontuação IRD
ESCOLA MUNICIPAL PROFA MARIA TEREZA AMADI DE ANDRADE COSTA,1.884058
TEREZINHA PEREIRA DA SILVA ESCOLA MUNICIPAL,2.497902
BAIRRO CAMPISTA ESCOLA MUNICIPAL,1.053682
SEBASTIAO FELIX DA SILVA ESCOLA MUNICIPAL,3.279503
CRECHE MUNICIPAL ALZIRA VIEIRA BERTONCINI,3.414705
THEODORICO DE OLIVEIRA PROFESSOR,3.098449
EMERSON FERNANDO DALEVEDOVE EMEI,4.085263
VIVIANA LUCIA DE MORAES FRANCO PROFA EMEF,3.347643
YOLANDA ARAUJO SILVA PAIVA PROFESSORA,3.167929
GENI CUNHA,2.396713
DINORAH SILVA DOS SANTOS PROFESSORA,3.373212
JARDIM ENCANTADO EMEI CRECHE,3.418408
ALDEIA RIO BRANCO II,3.799172
GERALDO BELETTI BRITO EMEF,4.228858
ALZIRO BASTOS DOS SANTOS PROF EMEF,4.015916
OSVALDO LUCACHAKI EMEF,3.755024
ANTONIA DE JESUS JULIANI PROFESSORA EMEIEF,1.331522
DEBORAH SILVA CAMARGO EMEF,4.488903
SITIO MANDIRA EMEIEF,0.799689
MARUJA EMEIEF,1.509317
ALDEIA TAKUARI TY,2.087992
BAIRRO ITAPITANGUI PEM DO,4.369565
DENIS RICARDO PACCA EMEIEF,3.370859
PERICLES EUGENIO DA SILVA RAMOS PROFESSOR,3.105105
ALICE VILELA GALVAO PROFA,1.737848
JOSE GOMES FIGUEIRA PROF EMEIS,3.12642
LEDA MARIA BILARD DE CARVALHO PROFA CRECHE,2.997541
ALICE VILELA GALVAO PROFA EMEF,3.393168
JOAO NERY MARTON PROF EMEF,3.047451
BAIRRO SANTA TEREZINHA EMEF,2.694631
SANTO HINO,2.0906
JOSE DOS SANTOS ALMEIDA,4.197662
ANTONIO FONTANA,1.870437
LUIZ PIRES BARBOSA PROF ETEC,3.862519
RACHID JABUR,2.742113
JOSE AUGUSTO DE CARVALHO DR,2.554753
CLOTILDE DE CASTRO BARREIRA PROFA,2.533372
JARDIM SAO FRANCISCO,2.276609
JOAO E MARIA EMEI,2.860874
HELENA PUPIM ALBANEZ E M,2.831609
OLGA BREVE ALVES PROFA EM,2.871949
JOAO LEAO DE CARVALHO EM,2.727786
MARIA DOMENICA MORINO IRMA CRECHE,3.138999
LEONILDA PEREIRA DE ALMEIDA EMEI,3.115424
RIZZIERI POLETTI,2.563306
ANJO DA GUARDA CRECHE MUNICIPAL,2.723214
RIZZIERI POLETTI EM,3.395998
MIGUEL MARUCA PEM,2.782154
APARECIDO GONCALVES LEMOS,2.170279
YOLANDA CAMPOS PEREIRA DA SILVA EMEI,3.001035
ALCINIO LEITE EMEF,4.196633
LUIZ GIMENEZ EMEF,2.994194
ESCOLA MUNICIPAL PROFA MARIA BORGES DOMINGUES BUGNI,2.083657
ARLINDO VIEIRA PADRE,3.918386
RAUL VENTURELLI DOUTOR,3.354748
FAUSTINO CESARINO BARRETO PROF EM,2.509039
ANAIR DA APARECIDA MIGUEL BESTEL EM,2.629043
BEM ME QUER EM,2.546584
RECANTO MARIA LIRIO TALLARICO EM,2.900198
MARIA DA CONCEICAO LUCAS MIELDAZIS PROFA EM,3.149586
PEDRO JOSE VIEIRA MONSENHOR EM,2.111524
BALANGA EM,3.191951
JOAO LAURINDO DA SILVA JOAO DE BARRO EM,2.854727
ANDRE FRANCO MONTORO GOV EM,3.314868
BAIRRO APIAI MIRIM EM,3.527297
ELIAS JORGE DANIEL EM,3.966066
JACYRA LANDIM STORI PROFA EM,3.27988
ISOLINA LEONEL FERREIRA PROFA EM,2.962104
AKIKO IKEDA EM,3.264999
CELSO CHARURI DR ETEC,3.652659
OSCAR KURTZ CAMARGO EM,3.130766
JOSE CARLOS TALLARICO JORNALISTA EM,2.965309
SAMUEL MESSIAS DE FREITAS PROFESSOR EM,2.393809
ESCOLA MUNICIPAL PROFESSORA ILENY DE SOUZA GALVAO DIAS,2.239907
YOLANDA MARCHETTI BALSEVICIUS VO LANDA EM,2.933489
ALICE DIAS PROFESSORA CRECHE,2.411663
BENJAMIM VENTURELLI PROF EM,3.470088
GIRASSOL EM,3.526104
LEONI DA SILVA LOPES CRECHE ESCOLA MUNICIPAL,2.080745
CRISTIANO LUCAS FERREIRA EM,1.964286
BAIRRO FERREIRA DAS ALMAS EM,1.703761
ANGELINO SUDARIO DE SOUZA EM,1.936987
E M CACILDA DOS SANTOS QUEIROZ,2.503697
BAIRRO DOS TOMES EM,1.806095
JOAO BAPTISTA DO AMARAL VASCONCELLOS PROFESSOR,2.945842
BAIRRO TURVO DOS ALMEIDAS,2.744495
PEDRO DIAS DE CAMPOS CORONEL,2.995151
PEDRO DE SOUZA QUEVEDO CENTRO MUNICIPAL DE EDUCACAO INFANTIL,3.076923
FRANCISCO MUNHOZ SANCHEZ VEREADOR EMEIF,2.609623
RICARDO PUCETTI EMEIF,3.374277
FRANCISCO MARIANO DE ALMEIDA EMEIF,3.24211
MARIA ELZA LAZARA LOPES EMEF,3.707086
ADELINO DOS SANTOS CENTRO MUNICIPAL DE EDUCACAO INFANTIL,2.934161
BEATRIZ APARECIDA MENCK MOREIRA PROFA CMEI,2.692056
TEREZA QUEVEDO LOPES EMEI,3.76836
CLARO DA SILVA CENTRO MUNICIPAL DE EDUCACAO INFANTIL,2.977256
MARCILIO LEITE DE ALMEIDA EMEF,3.393218
JOAQUIM SALVADOR DE QUEVEDO EMEIEF,3.245646
ALQUITICLINA PINTO DE LARA DONA NEGA CMEI,2.716197
PENITENCIARIA DE CAPELA DO ALTO,1.962848
CENTRO DE DETENCAO PROVISORIO DE CAPELA DO ALTO,2.226282
MARIA JANUARIA VAZ TUCCORI PROFESSORA,2.176999
FABIANO JOSE MOREIRA CAMARGO PADRE,3.104808
CHERUBIM FERNANDES SAMPAIO PROFESSOR EM,2.28287
MARIA ROSA LEMBO DUARTE PROFESSORA EM,3.244087
ALDO SILVEIRA PROFESSOR ESCOLA INTEGRAL DE CAPIVARI,2.802266
ANA BORTOLUCI FORNER EMEI,2.852032
DERLY ANDRIOTTI PROFESSOR EMEIEF,2.941362
JUREMA APARECIDA DE SOUSA MARTINS DOUTORA EMEIEF,3.165228
EICAP PROF DIRCEU ORTOLANI STEIN,2.55102
JOSE ANNICCHINO FU PAULO ESCOLA INTEGRAL DE CAPIVARI,3.0341
MARIA DO CARMO AMARAL PROFESSORA EMEIEF,2.794774
TERESINHA APARECIDA FRANCHI PROFESSORA EMEIEF,2.763244
BENEDITA GONCALVES QUAGLIATO EMEI,3.4202
AMELIA FRANCISCA ALVES EMEIEF,2.600932
ROSA AMADIO BALAN I EMEI,2.808412
GUERINO PADOVANI EMEI,3.375488
CECILIA CEREZER RICOMINI EMEI,2.280526
ALCINA DE ALMEIDA SOARES EMEI,3.204496
EMILIA BENVENUTO ORTOLANI EMEI,2.871577
JOSE BENEDITO PINTO ANTUNES PROFESSOR EMEIEF,3.17535
EMEIEF PROFA ANA APARECIDA RUFINO DIAS,3.604299
AUGUSTO CASTANHO ESCOLA MUNICIPAL,3.231817
LAURA QUAGLIATO PACHECO ESCOLA MUNICIPAL,2.750927
EICAP LUCIA ROSARIA ARMELIN STEFANINI,2.778828
TERESINHA DE JESUS MACLUF PROFESSORA EICAP,2.464286
EMEIEF PROFESSORA LENITA DE CAMARGO PENTEADO FIGUEIREDO,2.378882
IFSP - CAMPUS CAPIVARI,3.948831
MARIA APARECIDA BOAVENTURA DE ALMEIDA GARCIA EMEI,2.340784
ESTER ANNICCHINO PAGOTTO PROFESSORA EMEI,2.73607
EMEI PROF JOSE HYPOLITO FERNANDES DE CASTRO CARVALHO,2.389966
ESCOLA MUN DE ED INFANTIL NOSSA SENHORA RAINHA DA PAZ,2.794815
WALDEMAR THOMAZINE,2.063758
JOSE BONIFACIO CARRETTA PADRE,2.277695
CEI EMEI PROFA APARECIDA MARIA PIRES DE MENESES,2.949298
ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL PROFESSORA JANE URBANO FOCESI,2.706787
CEIEMEI ADI ADRIANA APARECIDA CASSIANO,2.964938
EDUARDO CORREA DA COSTA JUNIOR DOUTOR,3.348374
THOMAZ RIBEIRO DE LIMA,2.674894
ALCIDES DE CASTRO GALVAO,2.380343
BENEDITO MIGUEL CARLOTA,2.970526
AVELINO FERREIRA,2.503084
ISMAEL IGLESIAS,2.509419
LEONOR MENDES DE BARROS CEI EMEI,3.377329
MARIA CARLITA S GUEDES CEI EMEI,3.674644
BENEDITA PINTO FERREIRA,3.593168
MARIA ESTER DAS NEVES DUTRA DAMASIO PROFESSORA,2.981366
MARIO TROMBINI COMENDADOR,2.231725
ANTONIO ALVES BERNARDINO,1.567329
BENEDITO PAES SOBRINHO VEREADOR,2.509489
COLONIA DOS PESCADORES,2.86759
SANTINA NARDI MARQUES CEI EMEI,2.78831
REGINA CELIA SANTOS CHAPIRA BLAUSTEIN PROFA CEI,2.865277
EMEI EMEF PROF JOAO BENEDITO MARCONDES,3.021953
EMEI MARIA DE LOURDES LUCARELLI PEREZ,1.493072
EMEI EMEF BENEDITO INACIO SOARES,3.455573
EMEI EMEF BERNARDO FERREIRA LOUZADA,1.860581
EMEI EMEF JOAO THIMOTEO DO ROSARIO,1.090226
EMEI EMEF MASAKO SONE,3.104296
YASUTADA NASU EMEI,2.951128
CARLOS DE ALMEIDA RODRIGUES DR EMEF,2.810683
EMEI EMEF PROF JOAO BAPTISTA GARDELIN,2.99319
EMEI EMEF PROF LUCIO JACINTO DOS SANTOS,2.355871
EMEI EMEF PROF ALAOR XAVIER JUNQUEIRA,2.639098
MARIA APARECIDA UJIO PROFA EMEF,2.795789
ANTONIA ANTUNES AROUCA PROFA EMEF,3.454969
EMEI EMEF PROFA AIDA DE ALMEIDA CASTRO GRAZIOLI,2.791667
EMEI EMEF CARLOS ALTERO ORTEGA,2.868906
OSWALDO FERREIRA PROF EMEF,3.192349
MARIA THEREZA DE SOUZA CASTRO PROFA EMEF,2.844047
GERALDO DE LIMA PROF EMEF,3.128928
JORGE PASSOS PROF EMEF,3.424148
EMEI EMEF PEDRO JOAO DE OLIVEIRA,3.443878
ANTONIA RIBEIRO DA SILVA PROFA CIEFI,2.45111
LUIZ RIBEIRO MUNIZ PROF EMEF,3.346331
HONORINA PACHECO CORREA PROFA CEI,2.66999
ESTER NUNES DE SOUZA PROFA CEI,3.10559
CEI EMEI MESSIAS MENDES DE SOUZA,2.671793
CEI EMEI PROFA CELIA ROCHA LOBO,3.397145
EDNA MARIA NOGUEIRA FERRAZ PROFA CENTRO INT ED FUND INF,2.903223
IFSP - CAMPUS CARAGUATATUBA,3.741986
RICARDO LUQUES SAMMARCO SERRA PROF EMEFEBS,2.76678
JOAO LINO DA CRUZ CENTRO DE EDUCACAO INFANTIL,3.13147
ADOLFINA LEONOR SOARES DOS SANTOS PROFA CIEFI,2.892107
BAIRRO POIARES DO CENTRO DE EDUCACAO INFANTIL,1.493789
CENTRO ATEND SOCIOEDUC AO ADOLESC DE CARAGUATATUBA CI,2.562112
CARAGUATATUBA ETEC DE,4.169219
MARIA MORAES DE OLIVEIRA PROFA EMEF,3.247447
SEVERINO VITORIANO DOS SANTOS CEIEMEI,2.422774
CEI PROFA TELMA DO AMARANTE VEIGA SANTOS,2.000518
ANTONIO DE FREITAS AVELAR PROF EMEF,4.154424
THEREZA YANESSE SCHIMIDT CARDOZO PROFA CEI EMEI,2.763975
CENTRO DE DETEN PROV DR JOSE EDUARDO MARIZ DE OLIVEIRA,2.84472
MARIA ELMA MANSANO PROFA CEI EMEI,2.818459
MARIA APARECIDA DE CARVALHO PROFA EMEF,2.981366
CEEJA DE CARAGUATATUBA,2.737233
EUCLYDES FERREIRA PROF EMEF,2.619263
FRANCISCO ASSIS DE CARVALHO PROF CEI EMEI,3.325569
MARIA EUGENIA ARANHA CHODOUNSKY PROFA CEI E EMEI,2.688348
LUIZ SILVAR DO PRADO PROFESSOR EMEF,2.61602
MARIA ONICIE DIAS PEREIRA PROFA CEI EMEI,2.0655
ANGELO BARROS DE ARAUJO,2.54722
ESCOLA MUNICIPAL DE EDUCACAO INFANTIL CELINA FERREIRA DOS SANTOS,3.044746
CIDADE ARISTON ESTELA AZEVEDO VI,2.428541
EMEI PROFESSORA MARIA ELIANA ZADRA,2.672219
EMEI PROFA MARIA JOSE ABYAZA COSTA,2.792369
EMEI MONTEIRO LOBATO,4.23913
EMEI CRESCER E APRENDER,4.031167
EMEI CIRANDA DA CRIANCA,3.715554
EMEI ASAS DA IMAGINACAO,3.300592
EMEI PEQUENO APRENDIZ,3.304295
EMEI STELLA MARIS,2.735588
CEEJA DE CARAPICUIBA,3.473135
MARIA ALICE CRISSIUMA MESQUITA DONA,3.052446
FLORA STELLA PROFESSORA,3.056257
BENEDITO DE LIMA TUCUNDUVA DOUTOR,2.819652
ESMERALDA BECKER FREIRE DE CARVALHO PROFESSORA,2.311825
JOSUE MATTOS DE AGUIAR,2.386021
MARISE DA COSTA CORREA DE OLIVEIRA PROFESSORA,2.92262
ALBERTO KENWORTHY,2.814478
OSVALDO ELCI PROFESSOR,2.44663
RICARDINA CAMPELLO FONSECA RODRIGUES,2.789029
MARIO SALES SOUTO ENGENHEIRO,2.534462
HADLA FERES PROFESSORA,2.578418
IGNEZ DOS SANTOS SILVA,2.86792
TOUFIC JOULIAN,2.86594
AMOS MEUCCI,2.460637
VICTORIO FORNASARO,2.47254
DIVA DA CUNHA BARRA PROFESSORA,2.19285
WILLIAN RODRIGUES REBUA PROFESSOR,3.0155
EDGARD DE MOURA BITTENCOURT DESEMBARGADOR,3.032473
MANOEL DA CONCEICAO SANTOS PROFESSOR,2.49836
CECILIA DA PALMA VALENTIM SARDINHA PROFESSORA,2.820147
FRANCISCO RIBEIRO ROSA PROFESSOR,2.767409
CELSO PACHECO BENTIN PROFESSOR,3.339141
REGINA HALEPIAN ANTUNES PROFESSORA,3.030407
DIDITA CARDOSO ALVES PROFESSORA,2.139769
SALOMAO JORGE DEPUTADO,2.700022
RICARDO ANTONIO PECCHIO PROFESSOR,3.143885
ODETTE ALGODOAL LANZARA PROFESSORA,2.308455
LUIZ PEREIRA SOBRINHO PROFESSOR,3.037139
JOSE BENICIO DOS SANTOS,3.184624
JORGE JULIAN,2.936655
DERVILLE ALLEGRETTI DEPUTADO,2.691779
MARIA MARQUES DE NORONHA PROFESSORA,3.271937
NIDELSE MARTINS DE ALMEIDA PROFESSORA,3.077971
JOAO GARCIA DE HARO PROFESSOR,2.601312
BASILIO BOSNIAC,2.712188
CELESTINO CORREIA PINA PROFESSOR,2.921673
FABIANA DE QUEIROZ,2.776143
ELISABETH SILVA DE ARAUJO PROFESSORA,2.84348
CARMELINDA CAVALCANTI CHAGAS PEM,3.776533
IVANI TORTOLERO PIERINE EM,3.307346
IZAURA QUERCIA PEM,2.837797
CIDADE ARISTON PEM,3.638655
NAI MOLINA DO AMARAL PROFA EMEF,3.631423
JOAO HORNOS FILHO DEPUTADO EMEF,3.798281
ARGEU SILVEIRA BUENO PROF EMEF,3.855354
EDEGAR SIMOES EMEF,4.004534
NOEMY DA SILVEIRA RUDOLFER PROFA EMEF,3.386629
MIGUEL COSTA JUNIOR PROF EMEF,3.457557
EMILIA LEITE DE FIGUEIREDO CRECHE MUNICIPAL,3.332999
ABELHINHA CRECHE MUNICIPAL,3.313615
ALGODAO DOCE CRECHE MUNICIPAL,3.197346
FLORESTA ENCANTADA CRECHE MUNICIPAL,2.727676
PETER PAN CRECHE MUNICIPAL,3.267147
SITIO DO PICA PAU AMARELO CRECHE MUNICIPAL,2.514178
THOMAZIA A MONTORO CRECHE MUNICIPAL,3.51611
CRECHE MUNICIPAL LUIZ SIMPLICIO DE ANDRADE,3.14253
ANA ESTELA EMEI,3.861801
CASTELO ENCANTADO EMEI,3.696227
LETRINHAS MAGICAS EMEI,3.846816
SENINHA EMEI,3.274025
TICO TICO EMEI,3.93854
ALBERTO KENWORTHY EMEI,3.130139
EMEI MARIA DE FATIMA CAMPELO COGHI,3.19848
GENTE MIUDA EMEI,3.735335
GUSTAVO CORREA EMEI,3.849896
SABETRIZ EMEI,3.187039
VILA HELENA EMEI,3.873842
CARAPICUIBA ETEC DE,3.316059
CRECHE MUNICIPAL ANTONIA PEREIRA DE MAGALHAES VO TONHA,2.963911
EMEI ADEMAR FERRARI,3.232402
CRECHE MUNICIPAL ZILDA ARNS,3.768116
APARECIDA DE FATIMA SILVA PROFESSORA,2.559894
ANA RODRIGUES DE LISO,2.400273
CICERO BARCALA JUNIOR,2.90386
PAULO IDEVAR FERRAREZI SUPERVISOR,2.97997
OLIVEIRA RIBEIRO NETO,2.926823
MARIA DE LOURDES TEIXEIRA,3.139767
ADALBERTO MECCA SAMPAIO PROFESSOR,2.774104
ANDREI SAKHAROV,2.092206
ZILDA DOMINGOS DE OLIVEIRA,3.099244
JOSE MARIA PEREZ FERREIRA PROFESSOR,2.939327
ANTONIO DE OLIVEIRA GODINHO PADRE,2.302817
ALICE MARIA DA SILVA FERREIRA,1.937017
NATALINO FIDENCIO PROFESSOR,2.651507
ANDRE FRANCO MONTORO GOVERNADOR,2.640979
VILA DIRCE II,3.206383
MARIA HELENA MARDEGAN SCABELLO PROFESSORA,2.91145
EPAMINONDAS JOSE DE ANDRADE,3.283358
ARTHUR FRANCISCO ANDRIGHETTI,2.864241
EDVANIA DUTRA POZZETTI PROFESSORA EMESP,3.63375
LUIZ NUNES FERREIRA FILHO PROFESSOR EMEF,3.772916
DIRCE LIBANO DOS SANTOS PROFESSORA EMEF,4.009889
MARIA OLIMPIA GOUVEA EMEF,3.776139
ANA MARIA DE JESUS EMEI,3.89197
RAFAEL LUSTRE LOURENCO EMEI,2.515528
FLAVIO DE CAMPOS QUEIROZ EMEI,3.253968
ROSA LEOCADIA DE MIRANDA RODRIGUES EMEI,2.953761
MARIA JOSEFA DA TRINDADE EMEI,3.200169
EMEB PROFESSOR ACACIO DOS SANTOS PELEGRINI,2.915913
EMEB PROFESSOR CARLOS CORREA MASCARO,2.923219
EMEB DOUTOR RUBIAO JUNIOR,2.821047
EMEB LAURO DE ARAUJO,2.254204
LAURO DE ARAUJO,2.09345
FRANCISCO EUGENIO DE LIMA,3.009273
FRANCISCO NOGUEIRA DE LIMA DR ETEC,3.541169
FRANCISCO THOMAZ DE CARVALHO DOUTOR,2.901352
VICENTE PAULO ZANCHETTA PROFESSOR,2.312942
ERMINIO CARLOS MARTINS EMEB,1.597761
CORNELIO MARTINS PROFESSOR EMEB,1.464228
GANYMEDES JOSE SANTOS DE OLIVEIRA PROFESSOR EMEB,2.780435
BOANERGES NOGUEIRA DE LIMA PROFESSOR EMEB,2.028339
LINO JOSE CORRER PADRE EMEB,2.245303
STELA STEFANINI BACCI PROFESSORA CAIC,2.460467
CARLOS CESAR DE OLIVEIRA EMEB,2.135854
JOAO MAURICIO DE CARVALHO NOGUEIRA PROFESSOR EMEB,2.345773
PENITENCIARIA JOAQUIM DE SILOS CINTRA,3.838055
JOAO BATISTA SALLES CUNHA PROFESSOR EMEB,2.182453
ABEL DOS REIS,2.539741
CANTINHO FELIZ CRECHE,3.9656
ABEL DOS REIS EMEB,3.247512
JOAO E MARIA EMEI,2.747297
ROMUALDO DE CARVALHO PROFESSOR EMEB,3.636753
ARMEL MIRANDA,3.068249
BAIRRO PAULO SERGIO EMEI DO,3.039004
ANTONIO CUSTODIO BORGES EMEI,3.070186
ROSEMIRA AMERICA CARDOSO PEREIRA FERREIRA PROFESSORA EMEI,2.828764
YOUSSEF NEIF KASSAB DOUTOR EMEF,3.263078
MAURO ROBERTO MANOEL PROFESSOR EMEF,3.108696
MARIA DAURIA SILVA OLIVEIRA PROFESSORA EMEIEF,2.843001
CRIANCA FELIZ CRECHE CEI,2.859337
MARIA JOSE VIEIRA TELLES CRECHE MUNICIPAL,2.87924
DARIO GIOMETTI PROFESSOR,2.304656
MARIA APARECIDA BUZACHERO BANDEIRA EMEIEF,2.921843
DIJANIRA BOZZO JORGE PROFESSORA EMEIEF,2.459239
MARIA JOSE BRIDA FEDELI EMEI PROFA,3.628477
JOSE LAHUD CURY EMEI,3.43499
NESTOR SAMPAIO BITTENCOURT DOUTOR,3.804937
VITORINO PEREIRA PROFESSOR,2.206575
JOAQUIM ALVES FIGUEIREDO,2.670637
ANTONIO MAXIMIANO RODRIGUES,2.874772
ALFREDO MINERVINO,2.260071
BARAO DO RIO BRANCO,2.428675
NICOLA MASTROCOLA,2.562653
ELIAS NECHAR ETEC,4.325921
PAULO DE LIMA CORREA,2.703085
DINORAH SILVEIRA BORGES PROFESSORA,2.057251
ALBERTINA BALDO PEREIRA EMEI,4.648151
ANGELO CARANA EMEI,2.931871
GABRIEL HERNANDEZ FERREIRA EMEI,3.642363
CENICA BOCHI PROFESSORA EMEI,3.370015
GRACIEMA RAMOS DA SILVA PROFESSORA EMEF,3.629006
LUIZA LOURENCO DA CRUZ EMEI,3.633388
MARIA APARECIDA DE CARVALHO AZARITE PROFESSORA EMEI,3.32701
MARISA APARECIDA VERA DERVELAN PROFESSORA EMEI,3.064365
NEUZE BAPTISTA PROFESSOR EMEI,3.920102
CLEOMERIO JOSE CAMPI,2.603244
ARNALDO ZANCANER DOUTOR EMEIF,2.896943
ALBERTINA DIOGO SPANAZZI PROFESSORA EMEI,3.977446
DORA DE ARRUDA MENDES PROFESSORA EMEI,3.801421
MARIA AUREA ROSA DOMINGUES PROFESSORA EMEI,2.002421
NARDI IGNOTTI PROFESSOR EMEI,4.175824
VIRGILIO DE ARRUDA MENDES PROFESSOR EMEI,4.313925
CLAUDIOMAR COUTO PROFESSOR EMESF,2.145902
NELSON DE MACEDO MUSA PROFESSOR EMEF,3.169039
DARCI HELENA DELGADO JANUARIO PROFESSORA EMEF,2.753551
WALDEMAR MARTINS AYDAR PROFESSOR EMEF,2.63999
CARLOS ALBERTO SPINA PROFESSOR EMEI,4.065217
LAZARA ANTONINHA DA SILVA MILHORANCA PROFESSORA EMEF,3.354801
MARIO JULIANO POZETTI PROFESSOR EMEF,3.401897
GASTAO SILVEIRA PROFESSOR EMEF,3.370438
MARIA APARECIDA COLTURATO FERNANDES PROFESSORA EMEF,3.839222
ARMANDO PRANDI DOUTOR EMEF,1.713142
JOSE PEDRO DA MOTTA CORONEL EMEF,3.419994
OCTACILIO DE OLIVEIRA RAMOS EMEF,2.813522
SANTOS AGUIAR PROFESSOR EMEF,3.020115
JOSE D OLIVEIRA BARRETO PROFESSOR EMEF,2.510534
IDETTE DE LOURDES FRIAS COUTO PROFESSORA EMEI,4.114346
IFSP - CAMPUS CATANDUVA,3.536798
MARIO ANTONIO BIZARI PROF ESCOLA MUNICIPAL DE EDUCACAO INFANTIL,3.680448
EMEIEF LUZIA APARECIDA SESTITO GRADELLA,2.697484
EMEI CAIO EDUARDO LUIS PEREIRA MANCHINI,2.611219
ANTONIO CARLOS,2.616988
ESCOLA MUNICIPAL DE EDUCACAO INFANTIL FILOMENA PEDRO FEDERICI,2.386946
SERAFIM SANCHES EMEF,2.906216
CARMO TURANO VOLUNTARIO,3.13936
IRINEO BEOLCHI PREFEITO EM,4.697723
LUCIA NOVAIS BRANDAO PROFA EM,4.136948
SANTO ANTONIO CENTRO MUNICIPAL DE EDUCACAO INFANTIL,3.998677
JOSE LEITE PINHEIRO PROFESSOR,2.514825
JOSE ESTEVES PREFEITO ETEC,3.613926
PROFESSORA MARIANA APARECIDA TODESCATO,2.623006
ZELY MEIRA CACCIOLARI EMEIEF,3.687718
AVELINO PEREIRA PROF EMEIEF,3.828299
MARIA JOSE FRANCA NOGUEIRA PROFA EMEIEF,3.445214
MARIETA ROLIM DE MOURA PROFA EMEI,3.384488
APARECIDA MATEUS ROLIM EMEI,2.956165
CENTRO DE ATEND SOCIOEDUC AO ADOLESC FEMININO ANITA GARIBALDI CI,3.090925
CENTRO ATEND SOCIOED ADOLESC DE CERQUEIRA CESAR IICI,3.00106
CENTRO ATEND SOCIOED ADOLESC JOAO PAULO II CI,2.860914
CONCEICAO AVELLAR CAMPOS BRITO PROFESSORA CRECHE,3.417924
PENITENCIARIA MASCULINA DE CERQUEIRA CESAR,2.896198
CENTRO DE DETENCAO PROVISORIA DE CERQUEIRA CESAR,2.887882
SEBASTIANA FRANCO DE OLIVEIRA PROFESSORA CRECHE,3.392462
ARTHUR DA SILVA BERNARDES PRESIDENTE,2.992139
BELIRDE KAIZER PICCIN ESCOLA MUNICIPAL DE INFANTIL INTEGRAL,3.454073
MACHADO DE ASSIS EMEI,2.868789
MONTEIRO LOBATO EMEI,2.341676
NOEMIA SOUTO MADEIRA PROFA EMEI,2.76517
VICENTINA S REGINATO PROFA EMEII,3.873566
ESCOLA MUNICIPAL DE ASSISTENCIA E EDUCACAO AO EXCEPCIONAL,3.383766
ADELAIDE TOZI PROFA EMEF,2.717391
ALBERTINA AUDI DE ALMEIDA NOBRE VER ESC MUN ED INF INTEGRAL,3.515657
JOSEPHINA MODANEZI GRANDO EMEI,2.165826
YOLANDA BIAGIONI CAMARGO PROFA EMEF,2.848432
LAVINIA RODRIGUES SANSON PROFA EMEF,3.188205
MARINA BORDENALE PILOTTO GAIOTTO PROFA EMEF,2.99108
PIERINA DEOLINDA CONTARINI GAIOTTO PROFA EMEI,2.534753
LUIZA ELIZA GAIOTTO CORRADI EMEF,3.179821
LUIGI LUVIZOTTO EMEF,2.13162
LAZARA AUGUSTA CARDIA SABATINI PROFA EMEF,2.646602
ARTUR LUIZ GAYOTTO EMEF,3.397495
JOAO TOLEDO PROF EMEF,3.272316
DAVINA MORERA DAVE EMEII,4.233346
JOSEPHINA DE NADAI DONA EMEII,3.868964
JULIO PRESTES HOLTZ PADRE EMEF,3.02236
ONDINA MODOLO DORIGUELLO ESC MUN DE ED INFANTIL INTEGRAL,3.087355
ARACI PILON GRANDO PROFESSORA ESC MUN ED INF INTEGRAL,3.400476
CERQUILHO ETEC DE,3.227121
ARTUR SILVEIRA PADRE ESC MUN DE EDUC INFANTIL INTEGRAL,3.497372
VICTORIA MARCON BELLUCCI PROFA,2.971338
ARISTEU VASCONCELLOS LEITE,3.695039
EMEB OLGA VASCONCELOS LEITE,3.208463
MARIA DE FATIMA DA SILVA PROENCA MOTA PROFA EMEI,2.412008
EMEB HERO DE SA MENDES,3.351648
EMEB MARIA DE LOURDES LOBO,2.526875
FRANCISCO MENDES DE ALMEIDA PROF EMEF,3.854646
ORLANDO IAZZETTI DEPUTADO EMEFEIR,3.649197
HONORIO ROQUE DE MIRANDA TORRES EMEF,3.961008
NATAN PIRES DA SILVA EMEF,3.898476
EMEB GENI PIRES DA SILVA,2.510018
EMEB IRACEMA PAES RODRIGUES,2.407572
EMEB JOAQUIM CYRILLO DA SILVA,2.506211
SONIA MARIA DE CAMPOS SPERANDIO PROFA EMEF,3.495703
EMEB MARIA ANTONIA DE MIRANDA REIS PROFESSORA,3.502304
EMEB VICENTE HONORATO SANTANA,3.323983
PEDRO CREM FILHO PROFESSOR,2.996496
BENEDITO DUTRA TEIXEIRA PROFESSOR,2.889464
DANUZIA DA SILVA FURLAN PROFA EMEB,3.388038
AUREA MONTEZZO BEISSMANN PROFA EMEB,3.119038
ANTONIO FURLAN ESCOLA MUNICIPAL DE EDUCACAO BASICA EMEB,4.016755
BRAZ GIUSEPPE FEDRIGO EMEB,3.480745
EROTIDES DE CAMPOS PROF EMEB,3.164565
JOSE PEDRO MARIOTTI EMEB,2.944842
DEOCLECIO SOAVE PROFESSOR EMEB,3.513131
CRECHE MUNICIPAL PALMYRA TURCHI,3.474461
MARIA DE FATIMA GOMES ALVES,3.194426
SABINO SOARES VEREADOR EMEI,3.709411
MARIA CONCEICAO DE SOUZA EMEF,3.838739
